field_id,offseason_ndvi
F000,0.3894889980264534
F001,0.30250930862920955
F002,0.3721504037635659
F003,0.3648999226079604
F004,0.49544597059408324
F005,0.48102133986963264
F006,0.4376878799522774
F007,0.31581740823895316
F008,0.31863544828949936
F009,0.5239985372722203
F010,0.27183790842707783
F011,0.24119099471474056
F012,0.47907432618666457
F013,0.3213159800717689
F014,0.6488384128629713
F015,0.23226696645903683
F016,0.3809696087631134
F017,0.0403027625799215
F018,0.255221733975685
F019,0.23327353630082312
F020,0.43651496779321036
F021,0.6832317950489144
F022,0.2772984143664342
F023,0.49749974344698916
F024,0.33053355096233056
F025,0.4147461787994236
F026,0.4604405420909722
F027,0.31506312088583766
F028,0.5649848239956684
F029,0.30717430300083626
F030,0.4021573684009219
F031,0.2489655083721942
F032,0.5579576436323382
F033,0.4074013166774364
F034,0.5242410595068971
F035,0.3253520996365114
F036,0.36148138463582286
F037,0.37306383280649974
F038,0.4108959362524976
F039,0.369927562572865
F040,0.3005055786213897
F041,0.3954659594436412
F042,0.438353942408614
F043,0.15257013520174342
F044,0.17512723996751037
F045,0.4472409414312046
F046,0.39910569044276645
F047,0.3861358517504038
F048,0.432070849702176
F049,0.425939216239966
F050,0.5634735837875859
F051,0.4645379917875087
F052,0.39218462547852495
F053,0.21418052416783603
F054,0.26277857451987063
F055,0.32560935455588175
F056,0.46577801380580336
F057,0.2302976829502304
F058,0.4160042697706126
F059,0.546710935403994
F060,0.4492049859166654
F061,0.3588800179798152
F062,0.35203938560711556
F063,0.4509999608892772
F064,0.5374632426618418
F065,0.4187544895136849
F066,0.1333884637668395
F067,0.5307011512050153
F068,0.44491070208771233
F069,0.06966199163716352
F070,0.2478154951234165
F071,0.3844218300298974
F072,0.5288973318221948
F073,0.5975667333489827
F074,0.6176984887166025
F075,0.5557616540086457
F076,0.3686285054817356
F077,0.48261543706897003
F078,0.7464155820242887
F079,0.338901271105976
