field_id,date,ndvi
F001,2024-11-04,0.4344453924234101
F002,2024-11-04,0.20816239725092553
F003,2024-11-04,0.45147034078780435
F004,2024-11-04,0.2557320374011338
F005,2024-11-04,0.37681458876869633
F006,2024-11-04,0.4827064535716818
F001,2024-11-09,0.26678026570954927
F002,2024-11-09,0.19328359200665135
F003,2024-11-09,0.2597578746134993
F004,2024-11-09,0.1530442157942734
F005,2024-11-09,0.23224465454534707
F006,2024-11-09,0.24090080908874933
F002,2024-11-14,0.08798953290414242
F003,2024-11-14,0.1171572321856164
F005,2024-11-14,0.016437253581978308
F001,2024-11-19,0.13403571589296268
F002,2024-11-19,0.045516594381641816
F003,2024-11-19,0.05697904128522148
F004,2024-11-19,0.02731894510865955
F005,2024-11-19,0.05405624329922163
F006,2024-11-19,0.14191076438161296
F001,2024-11-24,0.21283896992763043
F002,2024-11-24,0.23382780145049942
F003,2024-11-24,0.27534881264138744
F004,2024-11-24,0.10042455477969854
F005,2024-11-24,0.2664121856355612
F006,2024-11-24,0.22832470927223567
F001,2024-11-29,0.3485109341993854
F002,2024-11-29,0.45499420535033613
F003,2024-11-29,0.5288188340772388
F004,2024-11-29,0.2501875532903742
F005,2024-11-29,0.4636701221888876
F006,2024-11-29,0.4792071092262262
F001,2024-12-04,0.3309110860455836
F002,2024-12-04,0.4594703903436465
F003,2024-12-04,0.4747831336756232
F004,2024-12-04,0.19217169159157846
F005,2024-12-04,0.43126909270041436
F006,2024-12-04,0.4384547512510496
F001,2024-12-09,0.40106822713214313
F002,2024-12-09,0.5486684951928955
F003,2024-12-09,0.5064704951614324
F004,2024-12-09,0.23621409260260007
F005,2024-12-09,0.4993327285996723
F006,2024-12-09,0.5170106574981967
F001,2024-12-09,0.3960164224499785
F002,2024-12-09,0.5469415328169567
F003,2024-12-09,0.5193539312476092
F004,2024-12-09,0.24048299343947105
F005,2024-12-09,0.4978351124350502
F006,2024-12-09,0.5108196923696157
F001,2024-12-14,0.37062775772279255
F002,2024-12-14,0.5471287100990685
F003,2024-12-14,0.45077051208630925
F004,2024-12-14,0.19022645455215662
F005,2024-12-14,0.44259544163856607
F006,2024-12-14,0.3838950585605965
F001,2024-12-19,0.313341004802068
F002,2024-12-19,0.42826952653675177
F003,2024-12-19,0.36943674268956744
F004,2024-12-19,0.13978711189524126
F005,2024-12-19,0.349843235067041
F006,2024-12-19,0.31739838766367523
F003,2024-12-24,0.137596239001645
F004,2024-12-24,0.06290674696703276
F001,2025-01-13,0.650538674223746
F002,2025-01-13,0.7700448370274054
F003,2025-01-13,0.4954650237532419
F004,2025-01-13,0.17030323916386997
F005,2025-01-13,0.4654436739933073
F006,2025-01-13,0.4271569985805603
F001,2025-01-23,0.6150633241982367
F002,2025-01-23,0.7201647888681819
F003,2025-01-23,0.4529994646598826
F004,2025-01-23,0.1798487389421605
F005,2025-01-23,0.47906902967646003
F006,2025-01-23,0.4781321383453492
F001,2025-01-28,0.5453922001682152
F002,2025-01-28,0.5544822658554599
F003,2025-01-28,0.3884070731644262
F004,2025-01-28,0.11430363139047271
F005,2025-01-28,0.3712666948673128
F006,2025-01-28,0.3822589762111261
F001,2025-02-02,0.5743732126371589
F002,2025-02-02,0.6110380788256295
F003,2025-02-02,0.41360907178851963
F004,2025-02-02,0.1552009971816181
F005,2025-02-02,0.5025305481018708
F006,2025-02-02,0.46768598447470244
F005,2025-02-07,0.6842459870346795
F001,2025-02-12,0.7583857699457393
F002,2025-02-12,0.7786343744156314
F003,2025-02-12,0.44731992841692864
F004,2025-02-12,0.20020085970076731
F005,2025-02-12,0.6183027357793683
F006,2025-02-12,0.5872399669466576
F001,2025-02-17,0.7792878873422941
F002,2025-02-17,0.7775149612647201
F003,2025-02-17,0.4426680035442283
F004,2025-02-17,0.19729569595554727
F005,2025-02-17,0.617984434178939
F006,2025-02-17,0.6404544086684464
F001,2025-02-22,0.7609329780714669
F002,2025-02-22,0.7345855957245514
F001,2025-03-04,0.772686935688317
F002,2025-03-04,0.7228362572811495
F003,2025-03-04,0.48390572083978123
F004,2025-03-04,0.21276257854977434
F005,2025-03-04,0.641044765149457
F006,2025-03-04,0.6499718356703151
F001,2025-03-09,0.7756523907791997
F002,2025-03-09,0.6349022205791615
F003,2025-03-09,0.45845924629850643
F004,2025-03-09,0.21159465215227322
F005,2025-03-09,0.6559541072315958
F006,2025-03-09,0.6483843757431614
F001,2025-03-14,0.7054196754643081
F002,2025-03-14,0.5685359065948893
F003,2025-03-14,0.4103923298028627
F004,2025-03-14,0.19364227930731737
F005,2025-03-14,0.6035269030846971
F006,2025-03-14,0.6509631746832625
F001,2025-03-19,0.7099079978358547
F002,2025-03-19,0.5359949151144653
F003,2025-03-19,0.4163122953535358
F004,2025-03-19,0.21624085702274173
F005,2025-03-19,0.5944749918692778
F006,2025-03-19,0.621101556847505
F001,2025-03-24,0.6189032381847493
F002,2025-03-24,0.49756447879052523
F003,2025-03-24,0.3698025708317909
F004,2025-03-24,0.20671056919069422
F005,2025-03-24,0.489599252980286
F006,2025-03-24,0.5415112131347692
F001,2025-03-29,0.6186235803343524
F002,2025-03-29,0.4065602397120017
F003,2025-03-29,0.37771079692021975
F004,2025-03-29,0.21257223702575498
F005,2025-03-29,0.40919283554560765
F006,2025-03-29,0.5045475549614378
F001,2025-03-31,0.5625841714601716
F002,2025-03-31,0.36445152981254597
F003,2025-03-31,0.35183584110608834
F004,2025-03-31,0.19417329433933678
F005,2025-03-31,0.4284889372055197
F006,2025-03-31,0.4713376748471349
F001,2025-04-03,0.4764677826185323
F002,2025-04-03,0.30005864853148934
F003,2025-04-03,0.33704394630185275
F004,2025-04-03,0.19526688912845613
F005,2025-04-03,0.37259924317898907
F006,2025-04-03,0.4172528985539557
F001,2025-04-08,0.3604667913046353
F002,2025-04-08,0.22792367303659736
F003,2025-04-08,0.28602439192744267
F004,2025-04-08,0.17219447893813725
F005,2025-04-08,0.2985692312529768
F006,2025-04-08,0.30280729065486
F001,2025-04-13,0.31509929756578003
F002,2025-04-13,0.2046504374110612
F003,2025-04-13,0.2912337965615751
F004,2025-04-13,0.17503607433647228
F005,2025-04-13,0.28610193749415963
F006,2025-04-13,0.2688232914863283
